dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
199,224308,BSU34590,,NE,12682299,
199,224308,BSU34570,,NE,12682299,
199,224308,BSU34540,,NE,12682299,
199,224308,BSU34530,,NE,12682299,
199,224308,BSU34510,,NE,12682299,
199,224308,BSU34500,,NE,12682299,
199,224308,BSU34490,,NE,12682299,
199,224308,BSU34460,,NE,12682299,
199,224308,BSU34450,,NE,12682299,
199,224308,BSU34440,,NE,12682299,
199,224308,BSU34430,,NE,12682299,
199,224308,BSU34420,,NE,12682299,
199,224308,BSU34410,,NE,12682299,
199,224308,BSU34400,,NE,12682299,
199,224308,BSU34380,,NE,12682299,
199,224308,BSU34370,,NE,12682299,
199,224308,BSU34360,,NE,12682299,
199,224308,BSU34350,,NE,12682299,
199,224308,BSU34300,,NE,12682299,
199,224308,BSU34290,,NE,12682299,
199,224308,BSU34280,,NE,12682299,
199,224308,BSU34265,,NE,12682299,
199,224308,BSU34250,,NE,12682299,
199,224308,BSU34240,,NE,12682299,
199,224308,BSU34230,,NE,12682299,
199,224308,BSU34220,,NE,12682299,
199,224308,BSU34210,,NE,12682299,
199,224308,BSU34200,,NE,12682299,
199,224308,BSU34190,,NE,12682299,
199,224308,BSU34170,,NE,12682299,
199,224308,BSU34160,,NE,12682299,
199,224308,BSU34150,,NE,12682299,
199,224308,BSU34130,,NE,12682299,
199,224308,BSU34120,,NE,12682299,
199,224308,BSU34110,,NE,12682299,
199,224308,BSU34090,,NE,12682299,
199,224308,BSU34070,,NE,12682299,
199,224308,BSU34060,,NE,12682299,
199,224308,BSU34050,,NE,12682299,
199,224308,BSU34040,,NE,12682299,
199,224308,BSU34000,,NE,12682299,
199,224308,BSU33990,,NE,12682299,
199,224308,BSU33980,,NE,12682299,
199,224308,BSU33960,,NE,12682299,
199,224308,BSU33940,,NE,12682299,
199,224308,BSU33890,,NE,12682299,
199,224308,BSU33880,,NE,12682299,
199,224308,BSU33870,,NE,12682299,
199,224308,BSU33860,,NE,12682299,
199,224308,BSU33850,,NE,12682299,
199,224308,BSU33840,,NE,12682299,
199,224308,BSU33820,,NE,12682299,
199,224308,BSU33810,,NE,12682299,
199,224308,BSU33790,,NE,12682299,
199,224308,BSU33760,,NE,12682299,
199,224308,BSU33730,,NE,12682299,
199,224308,BSU33710,,NE,12682299,
199,224308,BSU33680,,NE,12682299,
199,224308,BSU33650,,NE,12682299,
199,224308,BSU33640,,NE,12682299,
199,224308,BSU33630,,NE,12682299,
199,224308,BSU33620,,NE,12682299,
199,224308,BSU33600,,NE,12682299,
199,224308,BSU33590,,NE,12682299,
199,224308,BSU33580,,NE,12682299,
199,224308,BSU33560,,NE,12682299,
199,224308,BSU33550,,NE,12682299,
199,224308,BSU33520,,NE,12682299,
199,224308,BSU33510,,NE,12682299,
199,224308,BSU33500,,NE,12682299,
199,224308,BSU33480,,NE,12682299,
199,224308,BSU33470,,NE,12682299,
199,224308,BSU33460,,NE,12682299,
199,224308,BSU33440,,NE,12682299,
199,224308,BSU33420,,NE,12682299,
199,224308,BSU33390,,NE,12682299,
199,224308,BSU33380,,NE,12682299,
199,224308,BSU33360,,NE,12682299,
199,224308,BSU33340,,NE,12682299,
199,224308,BSU33320,,NE,12682299,
199,224308,BSU33310,,NE,12682299,
199,224308,BSU33300,,NE,12682299,
199,224308,BSU33280,,NE,12682299,
199,224308,BSU33260,,NE,12682299,
199,224308,BSU33239,,NE,12682299,
199,224308,BSU33230,,NE,12682299,
199,224308,BSU33210,,NE,12682299,
199,224308,BSU33200,,NE,12682299,
199,224308,BSU33190,,NE,12682299,
199,224308,BSU33180,,NE,12682299,
199,224308,BSU33170,,NE,12682299,
199,224308,BSU33150,,NE,12682299,
199,224308,BSU33140,,NE,12682299,
199,224308,BSU33130,,NE,12682299,
199,224308,BSU33110,,NE,12682299,
199,224308,BSU33090,,NE,12682299,
199,224308,BSU33070,,NE,12682299,
199,224308,BSU33050,,NE,12682299,
199,224308,BSU33040,,NE,12682299,
199,224308,BSU33010,,NE,12682299,
199,224308,BSU33000,,NE,12682299,
199,224308,BSU32990,,NE,12682299,
199,224308,BSU32980,,NE,12682299,
199,224308,BSU32950,,NE,12682299,
199,224308,BSU32940,,NE,12682299,
199,224308,BSU32910,,NE,12682299,
199,224308,BSU32900,,NE,12682299,
199,224308,BSU32890,,NE,12682299,
199,224308,BSU32880,,NE,12682299,
199,224308,BSU32870,,NE,12682299,
199,224308,BSU32859,,NE,12682299,
199,224308,BSU32850,,NE,12682299,
199,224308,BSU32849,,NE,12682299,
199,224308,BSU32840,,NE,12682299,
199,224308,BSU32830,,NE,12682299,
199,224308,BSU32820,,NE,12682299,
199,224308,BSU32810,,NE,12682299,
199,224308,BSU32800,,NE,12682299,
199,224308,BSU32760,,NE,12682299,
199,224308,BSU32750,,NE,12682299,
199,224308,BSU32740,,NE,12682299,
199,224308,BSU32730,,NE,12682299,
199,224308,BSU32719,,NE,12682299,
199,224308,BSU32690,,NE,12682299,
199,224308,BSU32680,,NE,12682299,
199,224308,BSU32669,,NE,12682299,
199,224308,BSU32650,,NE,12682299,
199,224308,BSU32630,,NE,12682299,
199,224308,BSU32610,,NE,12682299,
199,224308,BSU32600,,NE,12682299,
199,224308,BSU32590,,NE,12682299,
199,224308,BSU32580,,NE,12682299,
199,224308,BSU32540,,NE,12682299,
199,224308,BSU32530,,NE,12682299,
199,224308,BSU32510,,NE,12682299,
199,224308,BSU32500,,NE,12682299,
199,224308,BSU32480,,NE,12682299,
199,224308,BSU32470,,NE,12682299,
199,224308,BSU32440,,NE,12682299,
199,224308,BSU32430,,NE,12682299,
199,224308,BSU32410,,NE,12682299,
199,224308,BSU32400,,NE,12682299,
199,224308,BSU32380,,NE,12682299,
199,224308,BSU32370,,NE,12682299,
199,224308,BSU32360,,NE,12682299,
199,224308,BSU32340,,NE,12682299,
199,224308,BSU32330,,NE,12682299,
199,224308,BSU32320,,NE,12682299,
199,224308,BSU32300,,NE,12682299,
199,224308,BSU32290,,NE,12682299,
199,224308,BSU32280,,NE,12682299,
199,224308,BSU32270,,NE,12682299,
199,224308,BSU32260,,NE,12682299,
199,224308,BSU32250,,NE,12682299,
199,224308,BSU32240,,NE,12682299,
199,224308,BSU32220,,NE,12682299,
199,224308,BSU32210,,NE,12682299,
199,224308,BSU32200,,NE,12682299,
199,224308,BSU32190,,NE,12682299,
199,224308,BSU32180,,NE,12682299,
199,224308,BSU32160,,NE,12682299,
199,224308,BSU32150,,NE,12682299,
199,224308,BSU32100,,NE,12682299,
199,224308,BSU32090,,NE,12682299,
199,224308,BSU32080,,NE,12682299,
199,224308,BSU32060,,NE,12682299,
199,224308,BSU32050,,NE,12682299,
199,224308,BSU32040,,NE,12682299,
199,224308,BSU32030,,NE,12682299,
199,224308,BSU32010,,NE,12682299,
199,224308,BSU31990,,NE,12682299,
199,224308,BSU31970,,NE,12682299,
199,224308,BSU31960,,NE,12682299,
199,224308,BSU31959,,NE,12682299,
199,224308,BSU31945,,NE,12682299,
199,224308,BSU31930,,NE,12682299,
199,224308,BSU31920,,NE,12682299,
199,224308,BSU31910,,NE,12682299,
199,224308,BSU31890,,NE,12682299,
199,224308,BSU31875,,NE,12682299,
199,224308,BSU31860,,NE,12682299,
199,224308,BSU31840,,NE,12682299,
199,224308,BSU31830,,NE,12682299,
199,224308,BSU31820,,NE,12682299,
199,224308,BSU31790,,NE,12682299,
199,224308,BSU31760,,NE,12682299,
199,224308,BSU31740,,NE,12682299,
199,224308,BSU31730,,NE,12682299,
199,224308,BSU31700,,NE,12682299,
199,224308,BSU31690,,NE,12682299,
199,224308,BSU31680,,NE,12682299,
199,224308,BSU31670,,NE,12682299,
199,224308,BSU31660,,NE,12682299,
199,224308,BSU31640,,NE,12682299,
199,224308,BSU31590,,NE,12682299,
199,224308,BSU31560,,NE,12682299,
199,224308,BSU31540,,NE,12682299,
199,224308,BSU31530,,NE,12682299,
199,224308,BSU31520,,NE,12682299,
199,224308,BSU31510,,NE,12682299,
199,224308,BSU31460,,NE,12682299,
199,224308,BSU31440,,NE,12682299,
199,224308,BSU31430,,NE,12682299,
199,224308,BSU31400,,NE,12682299,
199,224308,BSU31360,,NE,12682299,
199,224308,BSU31330,,NE,12682299,
199,224308,BSU31322,,NE,12682299,
199,224308,BSU31321,,NE,12682299,
199,224308,BSU31290,,NE,12682299,
199,224308,BSU31280,,NE,12682299,
199,224308,BSU31279,,NE,12682299,
199,224308,BSU31260,,NE,12682299,
199,224308,BSU31240,,NE,12682299,
199,224308,BSU31230,,NE,12682299,
199,224308,BSU31220,,NE,12682299,
199,224308,BSU31210,,NE,12682299,
199,224308,BSU31190,,NE,12682299,
199,224308,BSU31170,,NE,12682299,
199,224308,BSU31160,,NE,12682299,
199,224308,BSU31150,,NE,12682299,
199,224308,BSU31140,,NE,12682299,
199,224308,BSU31130,,NE,12682299,
199,224308,BSU31120,,NE,12682299,
199,224308,BSU31110,,NE,12682299,
199,224308,BSU31100,,NE,12682299,
199,224308,BSU31090,,NE,12682299,
199,224308,BSU31080,,NE,12682299,
199,224308,BSU31070,,NE,12682299,
