dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
168,83332,Rv0482,,NE,14569030,
168,83332,Rv0483,,NE,14569030,
168,83332,Rv0484c,,NE,14569030,
168,83332,Rv0485,,NE,14569030,
168,83332,Rv0487,,NE,14569030,
168,83332,Rv0488,,NE,14569030,
168,83332,Rv0491,,NE,14569030,
168,83332,Rv0492c,,NE,14569030,
168,83332,Rv0493c,,NE,14569030,
168,83332,Rv0494,,NE,14569030,
168,83332,Rv0495c,,NE,14569030,
168,83332,Rv0496,,NE,14569030,
168,83332,Rv0497,,NE,14569030,
168,83332,Rv0498,,NE,14569030,
168,83332,Rv0499,,NE,14569030,
168,83332,Rv0501,,NE,14569030,
168,83332,Rv0502,,NE,14569030,
168,83332,Rv0503c,,NE,14569030,
168,83332,Rv0504c,,NE,14569030,
168,83332,Rv0505c,,NE,14569030,
168,83332,Rv0506,,NE,14569030,
168,83332,Rv0507,,NE,14569030,
168,83332,Rv0508,,NE,14569030,
168,83332,Rv0513,,NE,14569030,
168,83332,Rv0514,,NE,14569030,
168,83332,Rv0515,,NE,14569030,
168,83332,Rv0516c,,NE,14569030,
168,83332,Rv0517,,NE,14569030,
168,83332,Rv0519c,,NE,14569030,
168,83332,Rv0520,,NE,14569030,
168,83332,Rv0521c,,NE,14569030,
168,83332,Rv0523c,,NE,14569030,
168,83332,Rv0530,,NE,14569030,
168,83332,Rv0531,,NE,14569030,
168,83332,Rv0532,,NE,14569030,
168,83332,Rv0533c,,NE,14569030,
168,83332,Rv0536,,NE,14569030,
168,83332,Rv0537c,,NE,14569030,
168,83332,Rv0539,,NE,14569030,
168,83332,Rv0543c,,NE,14569030,
168,83332,Rv0544c,,NE,14569030,
168,83332,Rv0545c,,NE,14569030,
168,83332,Rv0546c,,NE,14569030,
168,83332,Rv0547c,,NE,14569030,
168,83332,Rv0549c,,NE,14569030,
168,83332,Rv0550c,,NE,14569030,
168,83332,Rv0551c,,NE,14569030,
168,83332,Rv0557,,NE,14569030,
168,83332,Rv0559c,,NE,14569030,
168,83332,Rv0560c,,NE,14569030,
168,83332,Rv0563,,NE,14569030,
168,83332,Rv0564c,,NE,14569030,
168,83332,Rv0565c,,NE,14569030,
168,83332,Rv0567,,NE,14569030,
168,83332,Rv0568,,NE,14569030,
168,83332,Rv0569,,NE,14569030,
168,83332,Rv0570,,NE,14569030,
168,83332,Rv0571c,,NE,14569030,
168,83332,Rv0572c,,NE,14569030,
168,83332,Rv0573c,,NE,14569030,
168,83332,Rv0574c,,NE,14569030,
168,83332,Rv0575c,,NE,14569030,
168,83332,Rv0576,,NE,14569030,
168,83332,Rv0577,,NE,14569030,
168,83332,Rv0579,,NE,14569030,
168,83332,Rv0580c,,NE,14569030,
168,83332,Rv0583c,,NE,14569030,
168,83332,Rv0584,,NE,14569030,
168,83332,Rv0585c,,NE,14569030,
168,83332,Rv0586,,NE,14569030,
168,83332,Rv0587,,NE,14569030,
168,83332,Rv0588,,NE,14569030,
168,83332,Rv0589,,NE,14569030,
168,83332,Rv0590,,NE,14569030,
168,83332,Rv0591,,NE,14569030,
168,83332,Rv0592,,NE,14569030,
168,83332,Rv0593,,NE,14569030,
168,83332,Rv0594,,NE,14569030,
168,83332,Rv0595c,,NE,14569030,
168,83332,Rv0597c,,NE,14569030,
168,83332,Rv0598c,,NE,14569030,
168,83332,Rv0599c,,NE,14569030,
168,83332,Rv0600c,,NE,14569030,
168,83332,Rv0601c,,NE,14569030,
168,83332,Rv0603,,NE,14569030,
168,83332,Rv0604,,NE,14569030,
168,83332,Rv0605,,NE,14569030,
168,83332,Rv0606,,NE,14569030,
168,83332,Rv0608,,NE,14569030,
168,83332,Rv0609,,NE,14569030,
168,83332,Rv0610c,,NE,14569030,
168,83332,Rv0611c,,NE,14569030,
168,83332,Rv0612,,NE,14569030,
168,83332,Rv0614,,NE,14569030,
168,83332,Rv0615,,NE,14569030,
168,83332,Rv0616c,,NE,14569030,
168,83332,Rv0617,,NE,14569030,
168,83332,Rv0618,,NE,14569030,
168,83332,Rv0620,,NE,14569030,
168,83332,Rv0621,,NE,14569030,
168,83332,Rv0622,,NE,14569030,
168,83332,Rv0623,,NE,14569030,
168,83332,Rv0624,,NE,14569030,
168,83332,Rv0625c,,NE,14569030,
168,83332,Rv0628c,,NE,14569030,
168,83332,Rv0629c,,NE,14569030,
168,83332,Rv0632c,,NE,14569030,
168,83332,Rv0633c,,NE,14569030,
168,83332,Rv0634c,,NE,14569030,
168,83332,Rv0637,,NE,14569030,
168,83332,Rv0641,,NE,14569030,
168,83332,Rv0644c,,NE,14569030,
168,83332,Rv0645c,,NE,14569030,
168,83332,Rv0646c,,NE,14569030,
168,83332,Rv0647c,,NE,14569030,
168,83332,Rv0648,,NE,14569030,
168,83332,Rv0649,,NE,14569030,
168,83332,Rv0650,,NE,14569030,
168,83332,Rv0652,,NE,14569030,
168,83332,Rv0653c,,NE,14569030,
168,83332,Rv0654,,NE,14569030,
168,83332,Rv0656c,,NE,14569030,
168,83332,Rv0657c,,NE,14569030,
168,83332,Rv0658c,,NE,14569030,
168,83332,Rv0659c,,NE,14569030,
168,83332,Rv0660c,,NE,14569030,
168,83332,Rv0661c,,NE,14569030,
168,83332,Rv0662c,,NE,14569030,
168,83332,Rv0663,,NE,14569030,
168,83332,Rv0664,,NE,14569030,
168,83332,Rv0665,,NE,14569030,
168,83332,Rv0668,,NE,14569030,
168,83332,Rv0669c,,NE,14569030,
168,83332,Rv0671,,NE,14569030,
168,83332,Rv0672,,NE,14569030,
168,83332,Rv0673,,NE,14569030,
168,83332,Rv0676c,,NE,14569030,
168,83332,Rv0677c,,NE,14569030,
168,83332,Rv0680c,,NE,14569030,
168,83332,Rv0681,,NE,14569030,
168,83332,Rv0686,,NE,14569030,
168,83332,Rv0688,,NE,14569030,
168,83332,Rv0689c,,NE,14569030,
168,83332,Rv0690c,,NE,14569030,
168,83332,Rv0692,,NE,14569030,
168,83332,Rv0693,,NE,14569030,
168,83332,Rv0694,,NE,14569030,
168,83332,Rv0696,,NE,14569030,
168,83332,Rv0697,,NE,14569030,
168,83332,Rv0698,,NE,14569030,
168,83332,Rv0699,,NE,14569030,
168,83332,Rv0700,,NE,14569030,
168,83332,Rv0711,,NE,14569030,
168,83332,Rv0712,,NE,14569030,
168,83332,Rv0713,,NE,14569030,
168,83332,Rv0714,,NE,14569030,
168,83332,Rv0723,,NE,14569030,
168,83332,Rv0724,,NE,14569030,
