,Gene,Prediction,Measured_growth,Growth_cutoff,Computational_growth,Condition,Dataset
22345,b0639,TN,0,"0,5","0,000000001276763294",Glucose,LB_essential
22346,b0641,TN,0,"0,5",0,Glucose,LB_essential
22347,b0650,TP,"1,026666667","0,5","0,8217979336",Glucose,Monk 2015
22348,b0651,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22349,b0652,TP,"0,986666667","0,5","0,8217979336",Glucose,Monk 2015
22350,b0653,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22351,b0654,TP,"1,046666667","0,5","0,8217979336",Glucose,Monk 2015
22352,b0655,TP,"1,12","0,5","0,8217979336",Glucose,Monk 2015
22353,b0657,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22354,b0662,TP,"0,973333333","0,5","0,8217979336",Glucose,Monk 2015
22355,b0674,TP,"0,873333333","0,5","0,8217979336",Glucose,Monk 2015
22356,b0675,TP,"1,04","0,5","0,8217979336",Glucose,Monk 2015
22357,b0677,TP,"0,97","0,5","0,8217979336",Glucose,Monk 2015
22358,b0678,TP,"1,04","0,5","0,8217979336",Glucose,Monk 2015
22359,b0679,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22360,b0681,TP,"0,906666667","0,5","0,8217979336",Glucose,Monk 2015
22361,b0684,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22362,b0688,TP,"0,63","0,5","0,8217979336",Glucose,Monk 2015
22363,b0692,TP,"1,003333333","0,5","0,8217979336",Glucose,Monk 2015
22364,b0693,TP,"0,97","0,5","0,8217979336",Glucose,Monk 2015
22365,b0696,TP,"1,076666667","0,5","0,8217979336",Glucose,Monk 2015
22366,b0697,TP,"0,903333333","0,5","0,8217979336",Glucose,Monk 2015
22367,b0698,TP,"0,963333333","0,5","0,8217979336",Glucose,Monk 2015
22368,b0709,TP,"1,043333333","0,5","0,8217979336",Glucose,Monk 2015
22369,b0720,TN,"0,093333333","0,5",0,Glucose,Monk 2015
22370,b0721,TP,"1,033333333","0,5","0,777961444",Glucose,Monk 2015
22371,b0722,TP,"0,946666667","0,5","0,777961444",Glucose,Monk 2015
22372,b0723,TP,"0,993333333","0,5","0,777961444",Glucose,Monk 2015
22373,b0724,TP,"0,783333333","0,5","0,777961444",Glucose,Monk 2015
22374,b0726,TP,"0,763333333","0,5","0,8062260299",Glucose,Monk 2015
22375,b0727,TP,"0,66","0,5","0,8062260299",Glucose,Monk 2015
22376,b0728,TP,"0,963333333","0,5","0,8093395832",Glucose,Monk 2015
22377,b0729,TP,"0,936666667","0,5","0,8093395832",Glucose,Monk 2015
22378,b0731,TP,"1,086666667","0,5","0,8217979336",Glucose,Monk 2015
22379,b0732,TP,"0,926666667","0,5","0,8217979336",Glucose,Monk 2015
22380,b0733,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22381,b0734,TP,"0,953333333","0,5","0,8217979336",Glucose,Monk 2015
22382,b0750,TN,"0,003333333","0,5",0,Glucose,Monk 2015
22383,b0751,TP,"0,96","0,5","0,8217979336",Glucose,Monk 2015
22384,b0752,TP,"0,993333333","0,5","0,8217979336",Glucose,Monk 2015
22385,b0754,TP,"0,993333333","0,5","0,8217979336",Glucose,Monk 2015
22386,b0755,TP,"0,963333333","0,5","0,8217979336",Glucose,Monk 2015
22387,b0756,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22388,b0757,TP,"0,983333333","0,5","0,8217979336",Glucose,Monk 2015
22389,b0758,TP,"0,993333333","0,5","0,8217979336",Glucose,Monk 2015
22390,b0759,TP,"1,103333333","0,5","0,8217979336",Glucose,Monk 2015
22391,b0763,TP,"1,03","0,5","0,8217979336",Glucose,Monk 2015
22392,b0764,TP,"1,056666667","0,5","0,8217979336",Glucose,Monk 2015
22393,b0765,TP,"1,04","0,5","0,8217979336",Glucose,Monk 2015
22394,b0766,TP,"0,843333333","0,5","0,8217979336",Glucose,Monk 2015
22395,b0767,TP,"0,816666667","0,5","0,8125879432",Glucose,Monk 2015
22396,b0774,FN,"0,988333333","0,5",0,Glucose,Monk 2015
22397,b0775,TN,"0,293333333","0,5",0,Glucose,Monk 2015
22398,b0776,FN,"0,95","0,5",0,Glucose,Monk 2015
22399,b0777,FN,"1,05","0,5",0,Glucose,Monk 2015
22400,b0778,FN,"0,93","0,5",0,Glucose,Monk 2015
22401,b0781,TP,1,"0,5","0,8217979336",Glucose,Monk 2015
22402,b0783,TP,"1,023333333","0,5","0,8217979336",Glucose,Monk 2015
22403,b0784,TP,"1,02","0,5","0,8217979336",Glucose,Monk 2015
22404,b0785,TP,"0,991666667","0,5","0,8217979336",Glucose,Monk 2015
22405,b0789,TP,"0,953333333","0,5","0,8217979336",Glucose,Monk 2015
22406,b0805,TP,"1,036666667","0,5","0,8217979336",Glucose,Monk 2015
22407,b0808,TP,"0,973333333","0,5","0,8217979336",Glucose,Monk 2015
22408,b0809,TP,"1,023333333","0,5","0,8217979336",Glucose,Monk 2015
22409,b0810,TP,"0,936666667","0,5","0,8217979336",Glucose,Monk 2015
22410,b0811,TP,"0,993333333","0,5","0,8217979336",Glucose,Monk 2015
22411,b0813,TP,"1,07","0,5","0,8217979336",Glucose,Monk 2015
22412,b0819,TP,"0,933333333","0,5","0,8217979336",Glucose,Monk 2015
22413,b0822,TP,"0,913333333","0,5","0,8217979336",Glucose,Monk 2015
22414,b0825,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22415,b0826,TP,"1,013333333","0,5","0,8217979336",Glucose,Monk 2015
22416,b0827,TP,"0,976666667","0,5","0,8217979336",Glucose,Monk 2015
22417,b0828,TP,"1,036666667","0,5","0,8217979336",Glucose,Monk 2015
22418,b0829,TP,"1,03","0,5","0,8217979336",Glucose,Monk 2015
22419,b0830,TP,"0,996666667","0,5","0,8217979336",Glucose,Monk 2015
22420,b0831,TP,"1,02","0,5","0,8217979336",Glucose,Monk 2015
22421,b0832,TP,"1,03","0,5","0,8217979336",Glucose,Monk 2015
22422,b0837,TP,"0,886666667","0,5","0,8217979336",Glucose,Monk 2015
22423,b0839,TP,"0,896666667","0,5","0,8217979336",Glucose,Monk 2015
22424,b0841,TP,"1,073333333","0,5","0,8217979336",Glucose,Monk 2015
22425,b0842,TP,"0,936666667","0,5","0,8217979336",Glucose,Monk 2015
22426,b0844,TP,"0,79","0,5","0,8217979336",Glucose,Monk 2015
22427,b0849,TP,"1,005","0,5","0,8217979336",Glucose,Monk 2015
22428,b0854,TP,"1,096666667","0,5","0,8217979336",Glucose,Monk 2015
22429,b0855,TP,"0,996666667","0,5","0,8217979336",Glucose,Monk 2015
22430,b0856,TP,"0,973333333","0,5","0,8217979336",Glucose,Monk 2015
22431,b0857,TP,"0,993333333","0,5","0,8217979336",Glucose,Monk 2015
22432,b0860,TP,"0,97","0,5","0,8217979336",Glucose,Monk 2015
22433,b0861,TP,"0,993333333","0,5","0,8217979336",Glucose,Monk 2015
22434,b0862,TP,"0,926666667","0,5","0,8217979336",Glucose,Monk 2015
22435,b0863,TP,"0,97","0,5","0,8217979336",Glucose,Monk 2015
22436,b0864,TP,"1,033333333","0,5","0,8217979336",Glucose,Monk 2015
22437,b0867,TP,1,"0,5","0,8217979336",Glucose,Monk 2015
22438,b0870,TP,"1,071666667","0,5","0,8217930055",Glucose,Monk 2015
22439,b0871,TP,"1,073333333","0,5","0,8217979336",Glucose,Monk 2015
22440,b0874,TP,"0,956666667","0,5","0,8217979336",Glucose,Monk 2015
22441,b0875,TP,"1,056666667","0,5","0,8217979336",Glucose,Monk 2015
22442,b0886,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22443,b0887,TP,"0,96","0,5","0,8217979336",Glucose,Monk 2015
22444,b0888,TP,1,"0,5","0,8217979336",Glucose,Monk 2015
22445,b0894,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22446,b0895,TP,"1,073333333","0,5","0,8217979336",Glucose,Monk 2015
22447,b0896,TP,"0,996666667","0,5","0,8217979336",Glucose,Monk 2015
22448,b0902,TP,"0,92","0,5","0,8217979336",Glucose,Monk 2015
22449,b0903,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22450,b0904,TP,"0,953333333","0,5","0,8217979336",Glucose,Monk 2015
22451,b0905,TP,"1,05","0,5","0,8217979336",Glucose,Monk 2015
22452,b0907,FP,0,"0,5","0,7876170472",Glucose,Monk 2015
22453,b0908,TN,0,"0,5",0,Glucose,Monk 2015
22454,b0910,TP,"0,923333333","0,5","0,8184275696",Glucose,Monk 2015
22455,b0914,TN,0,"0,5",0,Glucose,LB_essential
22456,b0915,TN,0,"0,5",0,Glucose,LB_essential
22457,b0918,TN,0,"0,5",0,Glucose,LB_essential
22458,b0925,TP,"0,946666667","0,5","0,8217979336",Glucose,Monk 2015
22459,b0928,TP,"0,863333333","0,5","0,8217979336",Glucose,Monk 2015
22460,b0929,TP,"0,943333333","0,5","0,8217979336",Glucose,Monk 2015
22461,b0931,TP,"1,03","0,5","0,8217979336",Glucose,Monk 2015
22462,b0932,TP,"0,943333333","0,5","0,8217979336",Glucose,Monk 2015
22463,b0933,TP,"0,99","0,5","0,8217979336",Glucose,Monk 2015
22464,b0934,TP,"0,983333333","0,5","0,8217979336",Glucose,Monk 2015
22465,b0935,TP,"0,97","0,5","0,8217979336",Glucose,Monk 2015
22466,b0936,TP,"1,02","0,5","0,8217979336",Glucose,Monk 2015
22467,b0937,TP,"1,023333333","0,5","0,8217979336",Glucose,Monk 2015
22468,b0945,FP,"0,03","0,5","0,8217979341",Glucose,Monk 2015
22469,b0954,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22470,b0957,TP,"0,94","0,5","0,8217979336",Glucose,Monk 2015
22471,b0963,TP,"1,036666667","0,5","0,8217979336",Glucose,Monk 2015
22472,b0968,TP,"0,983333333","0,5","0,8217979336",Glucose,Monk 2015
22473,b0972,TP,"0,926666667","0,5","0,8217979336",Glucose,Monk 2015
22474,b0973,TP,"1,01","0,5","0,8217979336",Glucose,Monk 2015
22475,b0974,TP,"0,95","0,5","0,8217979336",Glucose,Monk 2015
22476,b0978,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22477,b0979,TP,"1,02","0,5","0,8217979336",Glucose,Monk 2015
22478,b0980,TP,"0,933333333","0,5","0,8217979336",Glucose,Monk 2015
22479,b0996,TP,"1,02","0,5","0,8217979336",Glucose,Monk 2015
22480,b0997,TP,"0,99","0,5","0,8217979336",Glucose,Monk 2015
22481,b1002,TP,"1,023333333","0,5","0,8217979336",Glucose,Monk 2015
22482,b1004,TP,"0,976666667","0,5","0,8217979336",Glucose,Monk 2015
22483,b1006,TP,"1,076666667","0,5","0,8217979336",Glucose,Monk 2015
22484,b1007,TP,"0,983333333","0,5","0,8217979336",Glucose,Monk 2015
22485,b1008,TP,"1,05","0,5","0,8217979336",Glucose,Monk 2015
22486,b1009,TP,1,"0,5","0,8217979336",Glucose,Monk 2015
22487,b1010,TP,"0,943333333","0,5","0,8217979336",Glucose,Monk 2015
22488,b1011,TP,"1,053333333","0,5","0,8217979336",Glucose,Monk 2015
22489,b1012,TP,"1,058333333","0,5","0,8217979336",Glucose,Monk 2015
22490,b1014,TP,"1,013333333","0,5","0,8217979336",Glucose,Monk 2015
22491,b1015,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22492,b1019,TP,"0,96","0,5","0,8217979336",Glucose,Monk 2015
22493,b1021,TP,"0,986666667","0,5","0,8217979336",Glucose,Monk 2015
22494,b1022,TP,"0,913333333","0,5","0,8217979336",Glucose,Monk 2015
22495,b1025,TP,"1,01","0,5","0,8217979336",Glucose,Monk 2015
22496,b1033,TP,"0,956666667","0,5","0,8217979336",Glucose,Monk 2015
22497,b1054,TP,"1,023333333","0,5","0,8217979336",Glucose,Monk 2015
22498,b1059,TP,"1,021666667","0,5","0,8217979336",Glucose,Monk 2015
22499,b1062,TN,0,"0,5",0,Glucose,Monk 2015
22500,b1064,TP,"1,026666667","0,5","0,8217979336",Glucose,Monk 2015
22501,b1069,TN,0,"0,5",0,Glucose,LB_essential
22502,b1090,TP,"1,023333333","0,5","0,8217979336",Glucose,Monk 2015
22503,b1091,FN,"1,113333333","0,5",0,Glucose,Monk 2015
22504,b1092,TN,0,"0,5",0,Glucose,LB_essential
22505,b1093,TN,0,"0,5",0,Glucose,LB_essential
22506,b1094,TN,0,"0,5",0,Glucose,LB_essential
22507,b1095,TP,"1,056666667","0,5","0,8217979336",Glucose,Monk 2015
22508,b1096,TP,"0,763333333","0,5","0,8217979336",Glucose,Monk 2015
22509,b1097,TP,"1,156666667","0,5","0,8217979336",Glucose,Monk 2015
22510,b1098,TN,0,"0,5",0,Glucose,LB_essential
22511,b1101,TP,"0,523333333","0,5","0,8217979336",Glucose,Monk 2015
